+------+-------+---------------------+
|  C   | gamma |       Accuracy      |
+------+-------+---------------------+
| 0.01 | 0.001 | 0.11126760563380281 |
| 0.01 |  0.01 | 0.11197183098591548 |
| 0.01 |  0.1  | 0.12007042253521125 |
| 0.01 |   1   |  0.1186619718309859 |
| 0.01 |   10  | 0.11654929577464787 |
| 0.1  | 0.001 | 0.11126760563380281 |
| 0.1  |  0.01 | 0.43943661971830983 |
| 0.1  |  0.1  |  0.4274647887323944 |
| 0.1  |   1   |  0.1482394366197183 |
| 0.1  |   10  | 0.11654929577464787 |
|  1   | 0.001 |  0.4552816901408451 |
|  1   |  0.01 |  0.6915492957746479 |
|  1   |  0.1  |  0.8080985915492958 |
|  1   |   1   |  0.6264084507042254 |
|  1   |   10  |  0.454225352112676  |
|  10  | 0.001 |  0.680281690140845  |
|  10  |  0.01 |  0.7915492957746479 |
|  10  |  0.1  |  0.8419014084507042 |
|  10  |   1   |  0.6355633802816901 |
|  10  |   10  |  0.4552816901408451 |
| 100  | 0.001 |  0.7704225352112676 |
| 100  |  0.01 |  0.7852112676056338 |
| 100  |  0.1  |  0.840845070422535  |
| 100  |   1   |  0.6355633802816901 |
| 100  |   10  |  0.4552816901408451 |
| 1000 | 0.001 |  0.7623239436619718 |
| 1000 |  0.01 |  0.7806338028169015 |
| 1000 |  0.1  |  0.840845070422535  |
| 1000 |   1   |  0.6355633802816901 |
| 1000 |   10  |  0.4552816901408451 |
+------+-------+---------------------+
